Cycle,Total Messages,,Total Cycle Spend,,Total Data Received,,Peers Remaining,,Unsatisfied,,Budget Exhausted,,Orphaned,,PEER_DOWN,,MALFORMED_RECORDS,,DATA_REQUEST,,NO_DATA,,NO_ACCESS,,POLICY_INFORM,,REJECT_POLICIES,,RECORD_INFORM,,DATA_RESULT,,DATA_RESULT (+Data),,Data Received,,Cycle Spend,,Total Profit,,Total Neighbours,,Average Satisfaction,,Average Profit,,Average Data Received,,Average Normalised Profit,,Average Neighbours,
,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total
1,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2,91.0,91.0,200.0,200.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-100.0,-100.0,1000.0,1000.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,10.0,10.0
3,240.0,240.0,300.0,300.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,61.0,61.0,29.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-200.0,-200.0,1000.0,1000.0,0.0,0.0,-2.0,-2.0,0.0,0.0,1.0,1.0,10.0,10.0
4,406.0,406.0,400.0,400.0,3.0,3.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,49.0,49.0,6.0,6.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,100.0,-270.0,-270.0,1000.0,1000.0,0.75,0.75,-2.7,-2.7,0.03,0.03,1.3,1.3,10.0,10.0
5,584.0,584.0,500.0,500.0,20.0,20.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,52.0,52.0,55.0,55.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,17.0,17.0,100.0,100.0,-106.0,-106.0,1000.0,1000.0,1.3566411238825031,1.3566411238825031,-1.06,-1.06,0.17,0.17,3.94,3.94,10.0,10.0
6,757.0,757.0,599.0,599.0,23.0,23.0,99.0,99.0,99.0,99.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,101.0,101.0,46.0,46.0,17.0,17.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,99.0,99.0,-126.0,-126.0,991.0,991.0,2.547550214791594,2.547550214791594,-1.26,-1.26,0.030303030303030304,0.030303030303030304,4.73,4.73,10.01010101010101,10.01010101010101
7,927.0,927.0,698.0,698.0,50.0,50.0,99.0,99.0,99.0,99.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.0,64.0,48.0,48.0,52.0,52.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,27.0,27.0,99.0,99.0,187.0,187.0,992.0,992.0,4.3854290026703815,4.3854290026703815,1.87,1.87,0.2727272727272727,0.2727272727272727,8.85,8.85,10.02020202020202,10.02020202020202
8,1090.0,1090.0,797.0,797.0,53.0,53.0,99.0,99.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,38.0,38.0,26.0,26.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,99.0,99.0,139.0,139.0,993.0,993.0,4.616198233439613,4.616198233439613,1.39,1.39,0.030303030303030304,0.030303030303030304,9.36,9.36,10.030303030303031,10.030303030303031
9,1244.0,1244.0,896.0,896.0,96.0,96.0,99.0,99.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,44.0,44.0,49.0,49.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,43.0,43.0,99.0,99.0,659.0,659.0,998.0,998.0,7.091988023359838,7.091988023359838,6.59,6.59,0.43434343434343436,0.43434343434343436,15.55,15.55,10.080808080808081,10.080808080808081
