Cycle,Total Messages,,Total Cycle Spend,,Total Data Received,,Peers Remaining,,Unsatisfied,,Budget Exhausted,,Orphaned,,PEER_DOWN,,MALFORMED_RECORDS,,DATA_REQUEST,,NO_DATA,,NO_ACCESS,,POLICY_INFORM,,REJECT_POLICIES,,RECORD_INFORM,,DATA_RESULT,,DATA_RESULT (+Data),,Data Received,,Cycle Spend,,Total Profit,,Total Neighbours,,Average Satisfaction,,Average Profit,,Average Data Received,,Average Normalised Profit,,Average Neighbours,
10,1394.0,1394.0,995.0,995.0,108.0,108.0,99.0,99.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,29.0,29.0,27.0,27.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,12.0,99.0,99.0,777.0,777.0,1000.0,1000.0,7.977952935640541,7.977952935640541,7.77,7.77,0.12121212121212122,0.12121212121212122,17.72,17.72,10.1010101010101,10.1010101010101
11,1544.0,1544.0,1094.0,1094.0,112.0,112.0,99.0,99.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,28.0,28.0,61.0,61.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,99.0,99.0,730.0,730.0,1000.0,1000.0,8.422397380084986,8.422397380084986,7.3,7.3,0.04040404040404041,0.04040404040404041,18.24,18.24,10.1010101010101,10.1010101010101
12,1694.0,1694.0,1192.0,1192.0,112.0,112.0,98.0,98.0,98.0,98.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,86.0,86.0,17.0,17.0,38.0,38.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,98.0,98.0,691.0,691.0,990.0,990.0,9.422397380084986,9.422397380084986,6.91,6.91,0.0,0.0,18.83,18.83,10.10204081632653,10.10204081632653
13,1835.0,1835.0,1290.0,1290.0,129.0,129.0,98.0,98.0,98.0,98.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,50.0,50.0,25.0,25.0,61.0,61.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,17.0,98.0,98.0,844.0,844.0,991.0,991.0,11.100030857718462,11.100030857718462,8.44,8.44,0.17346938775510204,0.17346938775510204,21.34,21.34,10.112244897959183,10.112244897959183
14,1970.0,1970.0,1385.0,1385.0,148.0,148.0,95.0,95.0,95.0,95.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,80.0,80.0,18.0,18.0,30.0,30.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,19.0,95.0,95.0,1257.0,1257.0,962.0,962.0,15.353564890428695,15.353564890428695,12.57,12.57,0.2,0.2,26.42,26.42,10.126315789473685,10.126315789473685
15,2105.0,2105.0,1480.0,1480.0,167.0,167.0,95.0,95.0,95.0,95.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.0,50.0,17.0,17.0,62.0,62.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,19.0,19.0,95.0,95.0,1433.0,1433.0,963.0,963.0,16.326009589131978,16.326009589131978,14.33,14.33,0.2,0.2,29.13,29.13,10.136842105263158,10.136842105263158
16,2239.0,2239.0,1575.0,1575.0,194.0,194.0,95.0,95.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,15.0,15.0,36.0,36.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,27.0,27.0,95.0,95.0,1680.0,1680.0,963.0,963.0,17.768864866038975,17.768864866038975,16.8,16.8,0.28421052631578947,0.28421052631578947,32.55,32.55,10.136842105263158,10.136842105263158
17,2370.0,2370.0,1670.0,1670.0,213.0,213.0,95.0,95.0,95.0,95.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,49.0,49.0,11.0,11.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,19.0,19.0,95.0,95.0,1933.0,1933.0,965.0,965.0,18.51708715858576,18.51708715858576,19.33,19.33,0.2,0.2,36.03,36.03,10.157894736842104,10.157894736842104
18,2494.0,2494.0,1765.0,1765.0,231.0,231.0,95.0,95.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,9.0,9.0,40.0,40.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,95.0,95.0,2108.0,2108.0,965.0,965.0,19.37259243762045,19.37259243762045,21.08,21.08,0.18947368421052632,0.18947368421052632,38.73,38.73,10.157894736842104,10.157894736842104
19,2617.0,2617.0,1860.0,1860.0,231.0,231.0,95.0,95.0,95.0,95.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,46.0,46.0,11.0,11.0,64.0,64.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,95.0,2013.0,2013.0,965.0,965.0,19.346276648146766,19.346276648146766,20.13,20.13,0.0,0.0,38.73,38.73,10.157894736842104,10.157894736842104
20,2738.0,2738.0,1954.0,1954.0,242.0,242.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,73.0,8.0,8.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,11.0,11.0,94.0,94.0,2199.0,2199.0,955.0,955.0,21.017830532858547,21.017830532858547,21.99,21.99,0.11702127659574468,0.11702127659574468,41.53,41.53,10.159574468085106,10.159574468085106
21,2858.0,2858.0,2048.0,2048.0,250.0,250.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,7.0,7.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,94.0,94.0,2217.0,2217.0,956.0,956.0,21.52973529476331,21.52973529476331,22.17,22.17,0.0851063829787234,0.0851063829787234,42.65,42.65,10.170212765957446,10.170212765957446
22,2977.0,2977.0,2142.0,2142.0,250.0,250.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,7.0,7.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,2123.0,2123.0,956.0,956.0,21.510254775282792,21.510254775282792,21.23,21.23,0.0,0.0,42.65,42.65,10.170212765957446,10.170212765957446
23,3097.0,3097.0,2236.0,2236.0,250.0,250.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,7.0,7.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,2029.0,2029.0,956.0,956.0,21.49246821401797,21.49246821401797,20.29,20.29,0.0,0.0,42.65,42.65,10.170212765957446,10.170212765957446
24,3217.0,3217.0,2330.0,2330.0,250.0,250.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,68.0,68.0,8.0,8.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,1935.0,1935.0,956.0,956.0,21.49246821401797,21.49246821401797,19.35,19.35,0.0,0.0,42.65,42.65,10.170212765957446,10.170212765957446
25,3335.0,3335.0,2424.0,2424.0,255.0,255.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,47.0,47.0,4.0,4.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,94.0,94.0,1915.0,1915.0,957.0,957.0,22.056104577654327,22.056104577654327,19.15,19.15,0.05319148936170213,0.05319148936170213,43.39,43.39,10.180851063829786,10.180851063829786
26,3453.0,3453.0,2518.0,2518.0,255.0,255.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,5.0,5.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,1821.0,1821.0,957.0,957.0,22.056104577654327,22.056104577654327,18.21,18.21,0.0,0.0,43.39,43.39,10.180851063829786,10.180851063829786
27,3573.0,3573.0,2612.0,2612.0,255.0,255.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,4.0,4.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,1727.0,1727.0,957.0,957.0,22.056104577654327,22.056104577654327,17.27,17.27,0.0,0.0,43.39,43.39,10.180851063829786,10.180851063829786
28,3692.0,3692.0,2706.0,2706.0,255.0,255.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,68.0,68.0,6.0,6.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,1633.0,1633.0,957.0,957.0,22.056104577654327,22.056104577654327,16.33,16.33,0.0,0.0,43.39,43.39,10.180851063829786,10.180851063829786
29,3810.0,3810.0,2800.0,2800.0,260.0,260.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,49.0,49.0,2.0,2.0,65.0,65.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,94.0,94.0,1614.0,1614.0,958.0,958.0,22.38943791098766,22.38943791098766,16.14,16.14,0.05319148936170213,0.05319148936170213,44.14,44.14,10.191489361702128,10.191489361702128
30,3927.0,3927.0,2894.0,2894.0,270.0,270.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0,0.0,48.0,48.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0,94.0,94.0,1660.0,1660.0,958.0,958.0,22.71201855614895,22.71201855614895,16.6,16.6,0.10638297872340426,0.10638297872340426,45.54,45.54,10.191489361702128,10.191489361702128
31,4043.0,4043.0,2988.0,2988.0,270.0,270.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,1.0,1.0,66.0,66.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,94.0,94.0,1566.0,1566.0,958.0,958.0,22.71201855614895,22.71201855614895,15.66,15.66,0.0,0.0,45.54,45.54,10.191489361702128,10.191489361702128
32,4160.0,4160.0,3082.0,3082.0,274.0,274.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,3.0,3.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,94.0,94.0,1532.0,1532.0,959.0,959.0,22.902494746625138,22.902494746625138,15.32,15.32,0.0425531914893617,0.0425531914893617,46.14,46.14,10.202127659574469,10.202127659574469
33,4276.0,4276.0,3176.0,3176.0,279.0,279.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,2.0,2.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,94.0,94.0,1488.0,1488.0,960.0,960.0,23.616780460910853,23.616780460910853,14.88,14.88,0.05319148936170213,0.05319148936170213,46.64,46.64,10.212765957446809,10.212765957446809
34,4392.0,4392.0,3270.0,3270.0,279.0,279.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,2.0,2.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,1394.0,1394.0,960.0,960.0,23.616780460910853,23.616780460910853,13.94,13.94,0.0,0.0,46.64,46.64,10.212765957446809,10.212765957446809
35,4508.0,4508.0,3364.0,3364.0,279.0,279.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0,0.0,67.0,67.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,1300.0,1300.0,960.0,960.0,23.616780460910853,23.616780460910853,13.0,13.0,0.0,0.0,46.64,46.64,10.212765957446809,10.212765957446809
36,4624.0,4624.0,3458.0,3458.0,279.0,279.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,1.0,1.0,47.0,47.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,1206.0,1206.0,960.0,960.0,23.616780460910853,23.616780460910853,12.06,12.06,0.0,0.0,46.64,46.64,10.212765957446809,10.212765957446809
37,4739.0,4739.0,3552.0,3552.0,279.0,279.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,94.0,94.0,1112.0,1112.0,960.0,960.0,23.616780460910853,23.616780460910853,11.12,11.12,0.0,0.0,46.64,46.64,10.212765957446809,10.212765957446809
38,4854.0,4854.0,3646.0,3646.0,281.0,281.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,2.0,2.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,94.0,94.0,1056.0,1056.0,961.0,961.0,23.734427519734385,23.734427519734385,10.56,10.56,0.02127659574468085,0.02127659574468085,47.02,47.02,10.22340425531915,10.22340425531915
39,4968.0,4968.0,3740.0,3740.0,288.0,288.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,94.0,94.0,1032.0,1032.0,961.0,961.0,24.003658288965156,24.003658288965156,10.32,10.32,0.07446808510638298,0.07446808510638298,47.72,47.72,10.22340425531915,10.22340425531915
40,5082.0,5082.0,3834.0,3834.0,288.0,288.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,1.0,1.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,938.0,938.0,961.0,961.0,24.003658288965156,24.003658288965156,9.38,9.38,0.0,0.0,47.72,47.72,10.22340425531915,10.22340425531915
41,5196.0,5196.0,3928.0,3928.0,288.0,288.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,844.0,844.0,961.0,961.0,24.003658288965156,24.003658288965156,8.44,8.44,0.0,0.0,47.72,47.72,10.22340425531915,10.22340425531915
42,5310.0,5310.0,4022.0,4022.0,288.0,288.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,750.0,750.0,961.0,961.0,24.003658288965156,24.003658288965156,7.5,7.5,0.0,0.0,47.72,47.72,10.22340425531915,10.22340425531915
43,5424.0,5424.0,4116.0,4116.0,288.0,288.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,656.0,656.0,961.0,961.0,24.003658288965156,24.003658288965156,6.56,6.56,0.0,0.0,47.72,47.72,10.22340425531915,10.22340425531915
44,5538.0,5538.0,4210.0,4210.0,288.0,288.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,1.0,1.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,562.0,562.0,961.0,961.0,24.003658288965156,24.003658288965156,5.62,5.62,0.0,0.0,47.72,47.72,10.22340425531915,10.22340425531915
45,5652.0,5652.0,4304.0,4304.0,288.0,288.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,468.0,468.0,961.0,961.0,24.003658288965156,24.003658288965156,4.68,4.68,0.0,0.0,47.72,47.72,10.22340425531915,10.22340425531915
46,5766.0,5766.0,4398.0,4398.0,288.0,288.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,1.0,1.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,374.0,374.0,961.0,961.0,24.003658288965156,24.003658288965156,3.74,3.74,0.0,0.0,47.72,47.72,10.22340425531915,10.22340425531915
47,5880.0,5880.0,4492.0,4492.0,289.0,289.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,94.0,94.0,298.0,298.0,962.0,962.0,24.170324955631823,24.170324955631823,2.98,2.98,0.010638297872340425,0.010638297872340425,47.9,47.9,10.23404255319149,10.23404255319149
48,5993.0,5993.0,4586.0,4586.0,289.0,289.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,204.0,204.0,962.0,962.0,24.170324955631823,24.170324955631823,2.04,2.04,0.0,0.0,47.9,47.9,10.23404255319149,10.23404255319149
49,6106.0,6106.0,4680.0,4680.0,289.0,289.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,110.0,110.0,962.0,962.0,24.170324955631823,24.170324955631823,1.1,1.1,0.0,0.0,47.9,47.9,10.23404255319149,10.23404255319149
50,6219.0,6219.0,4774.0,4774.0,289.0,289.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,16.0,16.0,962.0,962.0,24.170324955631823,24.170324955631823,0.16,0.16,0.0,0.0,47.9,47.9,10.23404255319149,10.23404255319149
51,6332.0,6332.0,4868.0,4868.0,289.0,289.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,-78.0,-78.0,962.0,962.0,24.170324955631823,24.170324955631823,-0.78,-0.78,0.0,0.0,47.9,47.9,10.23404255319149,10.23404255319149
52,6445.0,6445.0,4962.0,4962.0,289.0,289.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,-172.0,-172.0,962.0,962.0,24.170324955631823,24.170324955631823,-1.72,-1.72,0.0,0.0,47.9,47.9,10.23404255319149,10.23404255319149
53,6558.0,6558.0,5056.0,5056.0,289.0,289.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,-266.0,-266.0,962.0,962.0,24.170324955631823,24.170324955631823,-2.66,-2.66,0.0,0.0,47.9,47.9,10.23404255319149,10.23404255319149
54,6671.0,6671.0,5150.0,5150.0,289.0,289.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,-360.0,-360.0,962.0,962.0,24.170324955631823,24.170324955631823,-3.6,-3.6,0.0,0.0,47.9,47.9,10.23404255319149,10.23404255319149
55,6784.0,6784.0,5244.0,5244.0,289.0,289.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,-454.0,-454.0,962.0,962.0,24.170324955631823,24.170324955631823,-4.54,-4.54,0.0,0.0,47.9,47.9,10.23404255319149,10.23404255319149
56,6897.0,6897.0,5338.0,5338.0,289.0,289.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,-548.0,-548.0,962.0,962.0,24.170324955631823,24.170324955631823,-5.48,-5.48,0.0,0.0,47.9,47.9,10.23404255319149,10.23404255319149
57,7010.0,7010.0,5432.0,5432.0,289.0,289.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,-642.0,-642.0,962.0,962.0,24.170324955631823,24.170324955631823,-6.42,-6.42,0.0,0.0,47.9,47.9,10.23404255319149,10.23404255319149
