Cycle,Total Messages,,Total Cycle Spend,,Total Data Received,,Peers Remaining,,Unsatisfied,,Budget Exhausted,,Orphaned,,PEER_DOWN,,MALFORMED_RECORDS,,DATA_REQUEST,,NO_DATA,,NO_ACCESS,,POLICY_INFORM,,REJECT_POLICIES,,RECORD_INFORM,,DATA_RESULT,,DATA_RESULT (+Data),,Data Received,,Cycle Spend,,Total Profit,,Total Neighbours,,Average Satisfaction,,Average Profit,,Average Data Received,,Average Normalised Profit,,Average Neighbours,
,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total
1,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2,95.0,95.0,200.0,200.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-100.0,-100.0,1000.0,1000.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,10.0,10.0
3,244.0,244.0,300.0,300.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,68.0,68.0,24.0,24.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-200.0,-200.0,1000.0,1000.0,0.0,0.0,-2.0,-2.0,0.0,0.0,1.0,1.0,10.0,10.0
4,401.0,401.0,398.0,398.0,28.0,28.0,98.0,98.0,98.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,34.0,34.0,18.0,18.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,28.0,28.0,98.0,98.0,-71.0,-71.0,980.0,980.0,4.252603433717985,4.252603433717985,-0.71,-0.71,0.2857142857142857,0.2857142857142857,3.27,3.27,10.0,10.0
5,561.0,561.0,496.0,496.0,47.0,47.0,98.0,98.0,98.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,53.0,53.0,44.0,44.0,3.0,3.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,19.0,19.0,98.0,98.0,-36.0,-36.0,980.0,980.0,5.502603433717985,5.502603433717985,-0.36,-0.36,0.19387755102040816,0.19387755102040816,4.6,4.6,10.0,10.0
6,716.0,716.0,591.0,591.0,59.0,59.0,95.0,95.0,95.0,95.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,88.0,88.0,29.0,29.0,26.0,26.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,12.0,12.0,95.0,95.0,73.0,73.0,951.0,951.0,9.007002260697456,9.007002260697456,0.73,0.73,0.12631578947368421,0.12631578947368421,6.64,6.64,10.010526315789473,10.010526315789473
7,865.0,865.0,686.0,686.0,92.0,92.0,95.0,95.0,95.0,95.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,56.0,56.0,43.0,43.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,33.0,33.0,95.0,95.0,179.0,179.0,953.0,953.0,10.64131239500759,10.64131239500759,1.79,1.79,0.3473684210526316,0.3473684210526316,8.65,8.65,10.031578947368422,10.031578947368422
8,1009.0,1009.0,781.0,781.0,114.0,114.0,95.0,95.0,95.0,95.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,85.0,85.0,23.0,23.0,31.0,31.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,95.0,95.0,258.0,258.0,953.0,953.0,11.54070438510423,11.54070438510423,2.58,2.58,0.23157894736842105,0.23157894736842105,10.39,10.39,10.031578947368422,10.031578947368422
9,1151.0,1151.0,876.0,876.0,117.0,117.0,95.0,95.0,95.0,95.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,54.0,54.0,45.0,45.0,39.0,39.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,95.0,95.0,187.0,187.0,954.0,954.0,11.993769519203846,11.993769519203846,1.87,1.87,0.031578947368421054,0.031578947368421054,10.63,10.63,10.042105263157895,10.042105263157895
