Cycle,Total Messages,,Total Cycle Spend,,Total Data Received,,Peers Remaining,,Unsatisfied,,Budget Exhausted,,Orphaned,,PEER_DOWN,,MALFORMED_RECORDS,,DATA_REQUEST,,NO_DATA,,NO_ACCESS,,POLICY_INFORM,,REJECT_POLICIES,,RECORD_INFORM,,DATA_RESULT,,DATA_RESULT (+Data),,Data Received,,Cycle Spend,,Total Profit,,Total Neighbours,,Average Satisfaction,,Average Profit,,Average Data Received,,Average Normalised Profit,,Average Neighbours,
,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total
1,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2,94.0,94.0,200.0,200.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-100.0,-100.0,1000.0,1000.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,10.0,10.0
3,255.0,255.0,300.0,300.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,70.0,70.0,18.0,18.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-200.0,-200.0,1000.0,1000.0,0.0,0.0,-2.0,-2.0,0.0,0.0,1.0,1.0,10.0,10.0
4,422.0,422.0,396.0,396.0,138.0,138.0,96.0,96.0,96.0,96.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,85.0,85.0,57.0,57.0,9.0,9.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,138.0,138.0,96.0,96.0,698.0,698.0,960.0,960.0,14.06547951666945,14.06547951666945,6.98,6.98,1.4375,1.4375,10.94,10.94,10.0,10.0
5,573.0,573.0,490.0,490.0,282.0,282.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,56.0,56.0,56.0,56.0,25.0,25.0,4.0,4.0,0.0,0.0,1.0,1.0,6.0,6.0,6.0,6.0,144.0,144.0,94.0,94.0,1347.0,1347.0,940.0,940.0,21.730824696385508,21.730824696385508,13.47,13.47,1.5319148936170213,1.5319148936170213,18.37,18.37,10.0,10.0
6,711.0,711.0,582.0,582.0,393.0,393.0,92.0,92.0,92.0,92.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,68.0,68.0,45.0,45.0,10.0,10.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,111.0,111.0,92.0,92.0,1845.0,1845.0,926.0,926.0,28.698521986377756,28.698521986377756,18.45,18.45,1.2065217391304348,1.2065217391304348,24.27,24.27,10.065217391304348,10.065217391304348
7,841.0,841.0,672.0,672.0,476.0,476.0,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,53.0,53.0,38.0,38.0,25.0,25.0,6.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,83.0,83.0,90.0,90.0,2051.0,2051.0,909.0,909.0,32.62125047445931,32.62125047445931,20.51,20.51,0.9222222222222223,0.9222222222222223,27.23,27.23,10.1,10.1
8,959.0,959.0,760.0,760.0,551.0,551.0,88.0,88.0,88.0,88.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,52.0,52.0,32.0,32.0,15.0,15.0,6.0,6.0,0.0,0.0,6.0,6.0,1.0,1.0,1.0,1.0,75.0,75.0,88.0,88.0,2425.0,2425.0,895.0,895.0,36.929080751228824,36.929080751228824,24.25,24.25,0.8522727272727273,0.8522727272727273,31.85,31.85,10.170454545454545,10.170454545454545
9,1068.0,1068.0,843.0,843.0,608.0,608.0,83.0,83.0,83.0,83.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,32.0,32.0,22.0,22.0,26.0,26.0,5.0,5.0,0.0,0.0,4.0,4.0,5.0,5.0,5.0,5.0,57.0,57.0,83.0,83.0,2842.0,2842.0,850.0,850.0,43.7124070354172,43.7124070354172,28.42,28.42,0.6867469879518072,0.6867469879518072,36.85,36.85,10.240963855421686,10.240963855421686
