Cycle,Total Messages,,,,,Total Cycle Spend,,,,,Total Data Received,,,,,Total PEER_DOWN,,,,,Total MALFORMED_RECORDS,,,,,Total DATA_REQUEST,,,,,Total NO_DATA,,,,,Total NO_ACCESS,,,,,Total POLICY_INFORM,,,,,Total REJECT_POLICIES,,,,,Total RECORD_INFORM,,,,,Total DATA_RESULT,,,,,Total DATA_RESULT (+Data),,,,,Peers Remaining,,,,,Unsatisfied,,,,,Budget Exhausted,,,,,Orphaned,,,,,Messages,,,,,Requesting,,,,,Waiting,,,,,Requestors,,,,,Providers,,,,,Dual Role,,,,,PEER_DOWN,,,,,MALFORMED_RECORDS,,,,,DATA_REQUEST,,,,,NO_DATA,,,,,NO_ACCESS,,,,,POLICY_INFORM,,,,,REJECT_POLICIES,,,,,RECORD_INFORM,,,,,DATA_RESULT,,,,,DATA_RESULT (+Data),,,,,Data Received,,,,,Cycle Spend,,,,,Total Profit,,,,,Total Neighbours,,,,,Average Satisfaction,,,,,Average Profit,,,,,Average Data Received,,,,,Average Normalised Profit,,,,,Average Neighbours,,,,
,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total
1,0.0,0.0,0.0,0.0,0.0,25.0,25.0,400.0,50.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,80.0,10.0,100.0,5.0,0.0,80.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,80.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,80.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,400.0,50.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0
2,6.0,0.0,56.0,0.0,62.0,50.0,25.0,800.0,50.0,925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,48.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,80.0,0.0,85.0,5.0,0.0,80.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,56.0,0.0,62.0,5.0,0.0,68.0,0.0,73.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,80.0,0.0,85.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,48.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,400.0,0.0,425.0,-25.0,-25.0,-400.0,-50.0,-500.0,50.0,0.0,800.0,0.0,850.0,0.0,100.0,0.0,100.0,200.0,-5.0,-5.0,-5.0,-5.0,-20.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,10.0,10.0,0.0,10.0,0.0,20.0
3,8.0,0.0,134.0,0.0,142.0,75.0,25.0,1200.0,50.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,71.0,0.0,79.0,0.0,0.0,24.0,0.0,24.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,80.0,0.0,85.0,5.0,0.0,80.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,78.0,0.0,80.0,5.0,0.0,66.0,0.0,71.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,80.0,0.0,85.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23.0,0.0,25.0,0.0,0.0,24.0,0.0,24.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,400.0,0.0,425.0,-50.0,-25.0,-800.0,-50.0,-925.0,50.0,0.0,799.0,0.0,849.0,0.0,100.0,0.0,100.0,200.0,-10.0,-5.0,-10.0,-5.0,-30.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,10.0,10.0,0.0,9.9875,0.0,19.9875
4,11.0,0.0,208.0,0.0,219.0,100.0,25.0,1590.0,50.0,1765.0,0.0,0.0,65.0,0.0,65.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,98.0,0.0,109.0,0.0,0.0,34.0,0.0,34.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,32.0,0.0,32.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,78.0,0.0,83.0,5.0,0.0,78.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,74.0,0.0,77.0,5.0,0.0,65.0,0.0,70.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,78.0,0.0,83.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,27.0,0.0,30.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,65.0,25.0,0.0,390.0,0.0,415.0,-75.0,-25.0,-665.0,-50.0,-815.0,50.0,0.0,780.0,0.0,830.0,0.0,100.0,9.191991423609071,100.0,209.19199142360907,-15.0,-5.0,-8.3125,-5.0,-33.3125,0.0,0.0,0.8333333333333334,0.0,0.8333333333333334,5.0,0.0,11.5625,0.0,16.5625,10.0,0.0,10.0,0.0,20.0
5,14.0,0.0,277.0,0.0,291.0,125.0,25.0,1975.0,50.0,2175.0,0.0,0.0,87.0,0.0,87.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,105.0,0.0,119.0,0.0,0.0,46.0,0.0,46.0,0.0,0.0,24.0,0.0,24.0,0.0,0.0,39.0,0.0,39.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,26.0,0.0,26.0,0.0,0.0,17.0,0.0,17.0,0.0,0.0,13.0,0.0,13.0,5.0,0.0,77.0,0.0,82.0,5.0,0.0,77.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,69.0,0.0,72.0,5.0,0.0,65.0,0.0,70.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,77.0,0.0,82.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,10.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,17.0,0.0,17.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,22.0,0.0,22.0,25.0,0.0,385.0,0.0,410.0,-100.0,-25.0,-974.0,-50.0,-1149.0,50.0,0.0,770.0,0.0,820.0,0.0,100.0,11.845513249005895,100.0,211.84551324900588,-20.0,-5.0,-12.175,-5.0,-42.175,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,5.0,0.0,12.5125,0.0,17.5125,10.0,0.0,10.0,0.0,20.0
