Cycle,Total Messages,,Total Cycle Spend,,Total Data Received,,Peers Remaining,,Unsatisfied,,Budget Exhausted,,Orphaned,,PEER_DOWN,,MALFORMED_RECORDS,,DATA_REQUEST,,NO_DATA,,NO_ACCESS,,POLICY_INFORM,,REJECT_POLICIES,,RECORD_INFORM,,DATA_RESULT,,DATA_RESULT (+Data),,Data Received,,Cycle Spend,,Total Profit,,Total Neighbours,,Average Satisfaction,,Average Profit,,Average Data Received,,Average Normalised Profit,,Average Neighbours,
,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total
1,0.0,0.0,25.0,25.0,0.0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2,25.0,25.0,50.0,50.0,0.0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,-25.0,-25.0,250.0,250.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,10.0,10.0
3,68.0,68.0,75.0,75.0,0.0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,19.0,19.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,-50.0,-50.0,250.0,250.0,0.0,0.0,-2.0,-2.0,0.0,0.0,1.0,1.0,10.0,10.0
4,112.0,112.0,97.0,97.0,52.0,52.0,22.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,16.0,16.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,52.0,52.0,22.0,22.0,334.0,334.0,220.0,220.0,25.109379509379508,25.109379509379508,13.36,13.36,2.3636363636363638,2.3636363636363638,17.24,17.24,10.0,10.0
5,155.0,155.0,118.0,118.0,96.0,96.0,21.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,16.0,19.0,19.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,4.0,44.0,44.0,21.0,21.0,552.0,552.0,210.0,210.0,32.96095238095238,32.96095238095238,22.08,22.08,2.0952380952380953,2.0952380952380953,26.8,26.8,10.0,10.0
6,191.0,191.0,137.0,137.0,165.0,165.0,19.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,14.0,14.0,15.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,69.0,69.0,19.0,19.0,887.0,887.0,192.0,192.0,54.712160411582,54.712160411582,35.48,35.48,3.6315789473684212,3.6315789473684212,40.96,40.96,10.105263157894736,10.105263157894736
7,219.0,219.0,154.0,154.0,210.0,210.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,10.0,10.0,12.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,45.0,45.0,17.0,17.0,1049.0,1049.0,173.0,173.0,64.98253942325132,64.98253942325132,41.96,41.96,2.6470588235294117,2.6470588235294117,48.12,48.12,10.176470588235293,10.176470588235293
8,239.0,239.0,170.0,170.0,253.0,253.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,8.0,8.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,16.0,16.0,1271.0,1271.0,167.0,167.0,71.06773528779416,71.06773528779416,50.84,50.84,2.6875,2.6875,57.64,57.64,10.4375,10.4375
9,256.0,256.0,186.0,186.0,279.0,279.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,5.0,5.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,26.0,26.0,16.0,16.0,1305.0,1305.0,168.0,168.0,73.66163598782009,73.66163598782009,52.2,52.2,1.625,1.625,59.64,59.64,10.5,10.5
10,267.0,267.0,200.0,200.0,301.0,301.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,22.0,22.0,14.0,14.0,1372.0,1372.0,148.0,148.0,75.00090579045491,75.00090579045491,54.88,54.88,1.5714285714285714,1.5714285714285714,62.88,62.88,10.571428571428571,10.571428571428571
