Cycle,Total Messages,,Total Cycle Spend,,Total Data Received,,Peers Remaining,,Unsatisfied,,Budget Exhausted,,Orphaned,,PEER_DOWN,,MALFORMED_RECORDS,,DATA_REQUEST,,NO_DATA,,NO_ACCESS,,POLICY_INFORM,,REJECT_POLICIES,,RECORD_INFORM,,DATA_RESULT,,DATA_RESULT (+Data),,Data Received,,Cycle Spend,,Total Profit,,Total Neighbours,,Average Satisfaction,,Average Profit,,Average Data Received,,Average Normalised Profit,,Average Neighbours,
,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total
1,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2,95.0,95.0,200.0,200.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-100.0,-100.0,1000.0,1000.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,10.0,10.0
3,263.0,263.0,300.0,300.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,73.0,76.0,76.0,17.0,17.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-200.0,-200.0,1000.0,1000.0,0.0,0.0,-2.0,-2.0,0.0,0.0,1.0,1.0,10.0,10.0
4,461.0,461.0,399.0,399.0,109.0,109.0,99.0,99.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,122.0,63.0,63.0,7.0,7.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,109.0,109.0,99.0,99.0,151.0,151.0,990.0,990.0,6.628975721676622,6.628975721676622,1.51,1.51,1.101010101010101,1.101010101010101,5.5,5.5,10.0,10.0
5,665.0,665.0,498.0,498.0,274.0,274.0,99.0,99.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,76.0,87.0,87.0,29.0,29.0,6.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,165.0,165.0,99.0,99.0,1009.0,1009.0,990.0,990.0,14.874502120918862,14.874502120918862,10.09,10.09,1.6666666666666667,1.6666666666666667,15.07,15.07,10.0,10.0
6,844.0,844.0,591.0,591.0,464.0,464.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,88.0,88.0,56.0,56.0,16.0,16.0,4.0,4.0,0.0,0.0,6.0,6.0,2.0,2.0,2.0,2.0,190.0,190.0,93.0,93.0,2056.0,2056.0,947.0,947.0,28.362013104661678,28.362013104661678,20.56,20.56,2.043010752688172,2.043010752688172,26.47,26.47,10.182795698924732,10.182795698924732
7,1007.0,1007.0,683.0,683.0,573.0,573.0,92.0,92.0,92.0,92.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,58.0,58.0,56.0,56.0,28.0,28.0,5.0,5.0,0.0,0.0,4.0,4.0,6.0,6.0,6.0,6.0,109.0,109.0,92.0,92.0,2669.0,2669.0,941.0,941.0,33.89526404163859,33.89526404163859,26.69,26.69,1.184782608695652,1.184782608695652,33.52,33.52,10.228260869565217,10.228260869565217
8,1145.0,1145.0,773.0,773.0,725.0,725.0,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,68.0,68.0,38.0,38.0,15.0,15.0,5.0,5.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,152.0,152.0,90.0,90.0,3411.0,3411.0,936.0,936.0,41.985020193083926,41.985020193083926,34.11,34.11,1.6888888888888889,1.6888888888888889,41.84,41.84,10.4,10.4
9,1262.0,1262.0,860.0,860.0,825.0,825.0,87.0,87.0,87.0,87.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,32.0,32.0,37.0,37.0,27.0,27.0,5.0,5.0,0.0,0.0,5.0,5.0,4.0,4.0,4.0,4.0,100.0,100.0,87.0,87.0,3829.0,3829.0,910.0,910.0,47.55235774679564,47.55235774679564,38.29,38.29,1.1494252873563218,1.1494252873563218,46.89,46.89,10.459770114942529,10.459770114942529
