Cycle,Total Messages,,Total Cycle Spend,,Total Data Received,,Peers Remaining,,Unsatisfied,,Budget Exhausted,,Orphaned,,PEER_DOWN,,MALFORMED_RECORDS,,DATA_REQUEST,,NO_DATA,,NO_ACCESS,,POLICY_INFORM,,REJECT_POLICIES,,RECORD_INFORM,,DATA_RESULT,,DATA_RESULT (+Data),,Data Received,,Cycle Spend,,Total Profit,,Total Neighbours,,Average Satisfaction,,Average Profit,,Average Data Received,,Average Normalised Profit,,Average Neighbours,
10,1362.0,1362.0,942.0,942.0,901.0,901.0,82.0,82.0,82.0,82.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,44.0,44.0,18.0,18.0,12.0,12.0,3.0,3.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,76.0,76.0,82.0,82.0,4129.0,4129.0,858.0,858.0,51.45328472450305,51.45328472450305,41.29,41.29,0.926829268292683,0.926829268292683,50.71,50.71,10.463414634146341,10.463414634146341
11,1451.0,1451.0,1024.0,1024.0,975.0,975.0,82.0,82.0,82.0,82.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,32.0,32.0,18.0,18.0,25.0,25.0,3.0,3.0,0.0,0.0,2.0,2.0,5.0,5.0,5.0,5.0,74.0,74.0,82.0,82.0,4457.0,4457.0,863.0,863.0,54.12895492835965,54.12895492835965,44.57,44.57,0.9024390243902439,0.9024390243902439,54.81,54.81,10.524390243902438,10.524390243902438
12,1528.0,1528.0,1103.0,1103.0,1026.0,1026.0,79.0,79.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,12.0,12.0,17.0,17.0,7.0,7.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,51.0,51.0,79.0,79.0,4816.0,4816.0,834.0,834.0,57.55234281080299,57.55234281080299,48.16,48.16,0.6455696202531646,0.6455696202531646,59.19,59.19,10.556962025316455,10.556962025316455
13,1602.0,1602.0,1181.0,1181.0,1059.0,1059.0,78.0,78.0,78.0,78.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,23.0,23.0,12.0,12.0,25.0,25.0,3.0,3.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,33.0,33.0,78.0,78.0,4876.0,4876.0,825.0,825.0,58.08199935368599,58.08199935368599,48.76,48.76,0.4230769230769231,0.4230769230769231,60.57,60.57,10.576923076923077,10.576923076923077
14,1675.0,1675.0,1258.0,1258.0,1091.0,1091.0,77.0,77.0,77.0,77.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,33.0,33.0,13.0,13.0,13.0,13.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,32.0,32.0,77.0,77.0,4946.0,4946.0,813.0,813.0,59.27672486644695,59.27672486644695,49.46,49.46,0.4155844155844156,0.4155844155844156,62.04,62.04,10.558441558441558,10.558441558441558
15,1738.0,1738.0,1334.0,1334.0,1147.0,1147.0,76.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,10.0,10.0,24.0,24.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,56.0,56.0,76.0,76.0,5078.0,5078.0,803.0,803.0,61.7349033253979,61.7349033253979,50.78,50.78,0.7368421052631579,0.7368421052631579,64.12,64.12,10.56578947368421,10.56578947368421
16,1801.0,1801.0,1409.0,1409.0,1159.0,1159.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,8.0,8.0,16.0,16.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,12.0,75.0,75.0,5044.0,5044.0,794.0,794.0,62.129536772615474,62.129536772615474,50.44,50.44,0.16,0.16,64.53,64.53,10.586666666666666,10.586666666666666
17,1855.0,1855.0,1482.0,1482.0,1239.0,1239.0,73.0,73.0,73.0,73.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,14.0,14.0,9.0,9.0,24.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80.0,80.0,73.0,73.0,5122.0,5122.0,773.0,773.0,63.693056243819484,63.693056243819484,51.22,51.22,1.095890410958904,1.095890410958904,66.04,66.04,10.58904109589041,10.58904109589041
18,1901.0,1901.0,1552.0,1552.0,1257.0,1257.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,13.0,13.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,18.0,18.0,70.0,70.0,5091.0,5091.0,740.0,740.0,64.30759048722723,64.30759048722723,50.91,50.91,0.2571428571428571,0.2571428571428571,66.43,66.43,10.571428571428571,10.571428571428571
19,1947.0,1947.0,1622.0,1622.0,1261.0,1261.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,5.0,5.0,24.0,24.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,70.0,70.0,5057.0,5057.0,740.0,740.0,64.39391081390599,64.39391081390599,50.57,50.57,0.05714285714285714,0.05714285714285714,66.79,66.79,10.571428571428571,10.571428571428571
20,1990.0,1990.0,1692.0,1692.0,1274.0,1274.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,25.0,25.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,13.0,13.0,70.0,70.0,5033.0,5033.0,740.0,740.0,64.57149853320423,64.57149853320423,50.33,50.33,0.18571428571428572,0.18571428571428572,67.25,67.25,10.571428571428571,10.571428571428571
21,2031.0,2031.0,1762.0,1762.0,1283.0,1283.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,2.0,2.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,70.0,70.0,4972.0,4972.0,739.0,739.0,64.75736118761557,64.75736118761557,49.72,49.72,0.12857142857142856,0.12857142857142856,67.34,67.34,10.557142857142857,10.557142857142857
22,2072.0,2072.0,1832.0,1832.0,1284.0,1284.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,1.0,1.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,70.0,70.0,4903.0,4903.0,740.0,740.0,64.72022976338737,64.72022976338737,49.03,49.03,0.014285714285714285,0.014285714285714285,67.35,67.35,10.571428571428571,10.571428571428571
23,2111.0,2111.0,1901.0,1901.0,1284.0,1284.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,2.0,2.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,4873.0,4873.0,730.0,730.0,65.14128239496632,65.14128239496632,48.73,48.73,0.0,0.0,67.74,67.74,10.579710144927537,10.579710144927537
24,2151.0,2151.0,1970.0,1970.0,1284.0,1284.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,4804.0,4804.0,730.0,730.0,65.14128239496632,65.14128239496632,48.04,48.04,0.0,0.0,67.74,67.74,10.579710144927537,10.579710144927537
25,2192.0,2192.0,2039.0,2039.0,1284.0,1284.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,2.0,2.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,4735.0,4735.0,730.0,730.0,65.14128239496632,65.14128239496632,47.35,47.35,0.0,0.0,67.74,67.74,10.579710144927537,10.579710144927537
26,2232.0,2232.0,2108.0,2108.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.0,23.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,69.0,69.0,4678.0,4678.0,731.0,731.0,65.27171717757501,65.27171717757501,46.78,46.78,0.043478260869565216,0.043478260869565216,67.86,67.86,10.594202898550725,10.594202898550725
27,2271.0,2271.0,2177.0,2177.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,4609.0,4609.0,731.0,731.0,65.27171717757501,65.27171717757501,46.09,46.09,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
28,2312.0,2312.0,2246.0,2246.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,1.0,1.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,4540.0,4540.0,731.0,731.0,65.27171717757501,65.27171717757501,45.4,45.4,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
29,2353.0,2353.0,2315.0,2315.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,4471.0,4471.0,731.0,731.0,65.27171717757501,65.27171717757501,44.71,44.71,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
30,2394.0,2394.0,2384.0,2384.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,1.0,1.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,4402.0,4402.0,731.0,731.0,65.27171717757501,65.27171717757501,44.02,44.02,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
31,2435.0,2435.0,2453.0,2453.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,4333.0,4333.0,731.0,731.0,65.27171717757501,65.27171717757501,43.33,43.33,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
32,2476.0,2476.0,2522.0,2522.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,1.0,1.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,4264.0,4264.0,731.0,731.0,65.27171717757501,65.27171717757501,42.64,42.64,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
33,2517.0,2517.0,2591.0,2591.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,4195.0,4195.0,731.0,731.0,65.27171717757501,65.27171717757501,41.95,41.95,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
34,2558.0,2558.0,2660.0,2660.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,1.0,1.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,4126.0,4126.0,731.0,731.0,65.27171717757501,65.27171717757501,41.26,41.26,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
35,2599.0,2599.0,2729.0,2729.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,4057.0,4057.0,731.0,731.0,65.27171717757501,65.27171717757501,40.57,40.57,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
36,2640.0,2640.0,2798.0,2798.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,1.0,1.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,3988.0,3988.0,731.0,731.0,65.27171717757501,65.27171717757501,39.88,39.88,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
37,2681.0,2681.0,2867.0,2867.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,3919.0,3919.0,731.0,731.0,65.27171717757501,65.27171717757501,39.19,39.19,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
38,2722.0,2722.0,2936.0,2936.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,1.0,1.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,3850.0,3850.0,731.0,731.0,65.27171717757501,65.27171717757501,38.5,38.5,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
39,2763.0,2763.0,3005.0,3005.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,3781.0,3781.0,731.0,731.0,65.27171717757501,65.27171717757501,37.81,37.81,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
40,2804.0,2804.0,3074.0,3074.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,3712.0,3712.0,731.0,731.0,65.27171717757501,65.27171717757501,37.12,37.12,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
41,2845.0,2845.0,3143.0,3143.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,3643.0,3643.0,731.0,731.0,65.27171717757501,65.27171717757501,36.43,36.43,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
42,2886.0,2886.0,3212.0,3212.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,3574.0,3574.0,731.0,731.0,65.27171717757501,65.27171717757501,35.74,35.74,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
43,2927.0,2927.0,3281.0,3281.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,3505.0,3505.0,731.0,731.0,65.27171717757501,65.27171717757501,35.05,35.05,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
44,2968.0,2968.0,3350.0,3350.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,3436.0,3436.0,731.0,731.0,65.27171717757501,65.27171717757501,34.36,34.36,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
45,3009.0,3009.0,3419.0,3419.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,3367.0,3367.0,731.0,731.0,65.27171717757501,65.27171717757501,33.67,33.67,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
46,3050.0,3050.0,3488.0,3488.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,3298.0,3298.0,731.0,731.0,65.27171717757501,65.27171717757501,32.98,32.98,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
47,3091.0,3091.0,3557.0,3557.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,3229.0,3229.0,731.0,731.0,65.27171717757501,65.27171717757501,32.29,32.29,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
48,3132.0,3132.0,3626.0,3626.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,3160.0,3160.0,731.0,731.0,65.27171717757501,65.27171717757501,31.6,31.6,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
49,3173.0,3173.0,3695.0,3695.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,3091.0,3091.0,731.0,731.0,65.27171717757501,65.27171717757501,30.91,30.91,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
50,3214.0,3214.0,3764.0,3764.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,3022.0,3022.0,731.0,731.0,65.27171717757501,65.27171717757501,30.22,30.22,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
51,3255.0,3255.0,3833.0,3833.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,2953.0,2953.0,731.0,731.0,65.27171717757501,65.27171717757501,29.53,29.53,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
52,3296.0,3296.0,3902.0,3902.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,2884.0,2884.0,731.0,731.0,65.27171717757501,65.27171717757501,28.84,28.84,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
53,3337.0,3337.0,3971.0,3971.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,2815.0,2815.0,731.0,731.0,65.27171717757501,65.27171717757501,28.15,28.15,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
54,3378.0,3378.0,4040.0,4040.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,2746.0,2746.0,731.0,731.0,65.27171717757501,65.27171717757501,27.46,27.46,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
55,3419.0,3419.0,4109.0,4109.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,2677.0,2677.0,731.0,731.0,65.27171717757501,65.27171717757501,26.77,26.77,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
56,3460.0,3460.0,4178.0,4178.0,1287.0,1287.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,2608.0,2608.0,731.0,731.0,65.27171717757501,65.27171717757501,26.08,26.08,0.0,0.0,67.86,67.86,10.594202898550725,10.594202898550725
