Cycle,Total Messages,,,,,Total Cycle Spend,,,,,Total Data Received,,,,,Total PEER_DOWN,,,,,Total MALFORMED_RECORDS,,,,,Total DATA_REQUEST,,,,,Total NO_DATA,,,,,Total NO_ACCESS,,,,,Total POLICY_INFORM,,,,,Total REJECT_POLICIES,,,,,Total RECORD_INFORM,,,,,Total DATA_RESULT,,,,,Total DATA_RESULT (+Data),,,,,Peers Remaining,,,,,Unsatisfied,,,,,Budget Exhausted,,,,,Orphaned,,,,,Messages,,,,,Requesting,,,,,Waiting,,,,,Requestors,,,,,Providers,,,,,Dual Role,,,,,PEER_DOWN,,,,,MALFORMED_RECORDS,,,,,DATA_REQUEST,,,,,NO_DATA,,,,,NO_ACCESS,,,,,POLICY_INFORM,,,,,REJECT_POLICIES,,,,,RECORD_INFORM,,,,,DATA_RESULT,,,,,DATA_RESULT (+Data),,,,,Data Received,,,,,Cycle Spend,,,,,Total Profit,,,,,Total Neighbours,,,,,Average Satisfaction,,,,,Average Profit,,,,,Average Data Received,,,,,Average Normalised Profit,,,,,Average Neighbours,,,,
,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total
1,0.0,0.0,0.0,0.0,0.0,25.0,25.0,400.0,50.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,80.0,10.0,100.0,5.0,0.0,80.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,80.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,80.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,400.0,50.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0
2,2.0,0.0,58.0,0.0,60.0,50.0,25.0,800.0,50.0,925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,46.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,80.0,0.0,85.0,5.0,0.0,80.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,58.0,0.0,60.0,5.0,0.0,69.0,0.0,74.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,80.0,0.0,85.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,46.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,400.0,0.0,425.0,-25.0,-25.0,-400.0,-50.0,-500.0,50.0,0.0,800.0,0.0,850.0,0.0,100.0,0.0,100.0,200.0,-5.0,-5.0,-5.0,-5.0,-20.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,10.0,10.0,0.0,10.0,0.0,20.0
3,5.0,0.0,131.0,0.0,136.0,75.0,25.0,1200.0,50.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,69.0,0.0,74.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,80.0,0.0,85.0,5.0,0.0,80.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,73.0,0.0,76.0,5.0,0.0,67.0,0.0,72.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,80.0,0.0,85.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,23.0,0.0,26.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,400.0,0.0,425.0,-50.0,-25.0,-800.0,-50.0,-925.0,50.0,0.0,798.0,0.0,848.0,0.0,100.0,0.0,100.0,200.0,-10.0,-5.0,-10.0,-5.0,-30.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,10.0,10.0,0.0,9.975,0.0,19.975
4,8.0,0.0,202.0,0.0,210.0,100.0,25.0,1590.0,50.0,1765.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,87.0,0.0,95.0,0.0,0.0,31.0,0.0,31.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,35.0,0.0,35.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,78.0,0.0,83.0,5.0,0.0,78.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,71.0,0.0,74.0,5.0,0.0,65.0,0.0,70.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,78.0,0.0,83.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,18.0,0.0,21.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,25.0,0.0,390.0,0.0,415.0,-75.0,-25.0,-929.0,-50.0,-1079.0,50.0,0.0,778.0,0.0,828.0,0.0,100.0,6.882667781564839,100.0,206.88266778156483,-15.0,-5.0,-11.6125,-5.0,-36.6125,0.0,0.0,0.6410256410256411,0.0,0.6410256410256411,5.0,0.0,8.2625,0.0,13.2625,10.0,0.0,9.974358974358974,0.0,19.974358974358974
5,10.0,0.0,266.0,0.0,276.0,125.0,25.0,1980.0,50.0,2180.0,0.0,0.0,108.0,0.0,108.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,95.0,0.0,105.0,0.0,0.0,39.0,0.0,39.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,42.0,0.0,42.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,31.0,0.0,31.0,0.0,0.0,21.0,0.0,21.0,0.0,0.0,17.0,0.0,17.0,5.0,0.0,78.0,0.0,83.0,5.0,0.0,78.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,64.0,0.0,66.0,5.0,0.0,64.0,0.0,69.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,78.0,0.0,83.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,10.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,21.0,0.0,21.0,0.0,0.0,17.0,0.0,17.0,0.0,0.0,58.0,0.0,58.0,25.0,0.0,390.0,0.0,415.0,-100.0,-25.0,-987.0,-50.0,-1162.0,50.0,0.0,778.0,0.0,828.0,0.0,100.0,11.81707712222418,100.0,211.8170771222242,-20.0,-5.0,-12.3375,-5.0,-42.3375,0.0,0.0,0.7435897435897436,0.0,0.7435897435897436,5.0,0.0,12.4125,0.0,17.4125,10.0,0.0,9.974358974358974,0.0,19.974358974358974
