Cycle,Total Messages,,Total Cycle Spend,,Total Data Received,,Peers Remaining,,Unsatisfied,,Budget Exhausted,,Orphaned,,PEER_DOWN,,MALFORMED_RECORDS,,DATA_REQUEST,,NO_DATA,,NO_ACCESS,,POLICY_INFORM,,REJECT_POLICIES,,RECORD_INFORM,,DATA_RESULT,,DATA_RESULT (+Data),,Data Received,,Cycle Spend,,Total Profit,,Total Neighbours,,Average Satisfaction,,Average Profit,,Average Data Received,,Average Normalised Profit,,Average Neighbours,
,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total
1,0.0,0.0,500.0,500.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
2,72.0,72.0,1000.0,1000.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,-500.0,-500.0,1000.0,1000.0,0.0,0.0,-5.0,-5.0,0.0,0.0,5.0,5.0,10.0,10.0
3,169.0,169.0,1500.0,1500.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,30.0,30.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,-1000.0,-1000.0,1000.0,1000.0,0.0,0.0,-10.0,-10.0,0.0,0.0,5.0,5.0,10.0,10.0
4,268.0,268.0,2000.0,2000.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,15.0,15.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,-1500.0,-1500.0,1000.0,1000.0,0.0,0.0,-15.0,-15.0,0.0,0.0,5.0,5.0,10.0,10.0
5,368.0,368.0,2500.0,2500.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,14.0,14.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,-2000.0,-2000.0,1000.0,1000.0,0.0,0.0,-20.0,-20.0,0.0,0.0,5.0,5.0,10.0,10.0
