Cycle,Total Messages,,Total Cycle Spend,,Total Data Received,,Peers Remaining,,Unsatisfied,,Budget Exhausted,,Orphaned,,PEER_DOWN,,MALFORMED_RECORDS,,DATA_REQUEST,,NO_DATA,,NO_ACCESS,,POLICY_INFORM,,REJECT_POLICIES,,RECORD_INFORM,,DATA_RESULT,,DATA_RESULT (+Data),,Data Received,,Cycle Spend,,Total Profit,,Total Neighbours,,Average Satisfaction,,Average Profit,,Average Data Received,,Average Normalised Profit,,Average Neighbours,
,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total
1,0.0,0.0,500.0,500.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
2,78.0,78.0,1000.0,1000.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,-500.0,-500.0,1000.0,1000.0,0.0,0.0,-5.0,-5.0,0.0,0.0,5.0,5.0,10.0,10.0
3,178.0,178.0,1500.0,1500.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,36.0,36.0,12.0,12.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,-1000.0,-1000.0,1000.0,1000.0,0.0,0.0,-10.0,-10.0,0.0,0.0,5.0,5.0,10.0,10.0
4,257.0,257.0,1970.0,1970.0,132.0,132.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,25.0,25.0,10.0,10.0,3.0,3.0,9.0,9.0,3.0,3.0,25.0,25.0,0.0,0.0,0.0,0.0,132.0,132.0,470.0,470.0,-645.0,-645.0,940.0,940.0,17.156805566556205,17.156805566556205,-6.45,-6.45,1.4042553191489362,1.4042553191489362,13.25,13.25,10.0,10.0
5,335.0,335.0,2435.0,2435.0,144.0,144.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,6.0,6.0,11.0,11.0,8.0,8.0,3.0,3.0,6.0,6.0,25.0,25.0,20.0,20.0,12.0,12.0,465.0,465.0,-1041.0,-1041.0,929.0,929.0,18.086383959178075,18.086383959178075,-10.41,-10.41,0.12903225806451613,0.12903225806451613,13.94,13.94,9.989247311827956,9.989247311827956
