Cycle,Total Messages,,Total Cycle Spend,,Total Data Received,,Peers Remaining,,Unsatisfied,,Budget Exhausted,,Orphaned,,PEER_DOWN,,MALFORMED_RECORDS,,DATA_REQUEST,,NO_DATA,,NO_ACCESS,,POLICY_INFORM,,REJECT_POLICIES,,RECORD_INFORM,,DATA_RESULT,,DATA_RESULT (+Data),,Data Received,,Cycle Spend,,Total Profit,,Total Neighbours,,Average Satisfaction,,Average Profit,,Average Data Received,,Average Normalised Profit,,Average Neighbours,
10,1222.0,1222.0,896.0,896.0,777.0,777.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,39.0,39.0,24.0,24.0,13.0,13.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,52.0,52.0,75.0,75.0,4421.0,4421.0,775.0,775.0,53.77493457687071,53.77493457687071,44.21,44.21,0.6933333333333334,0.6933333333333334,53.17,53.17,10.333333333333334,10.333333333333334
11,1301.0,1301.0,969.0,969.0,810.0,810.0,73.0,73.0,73.0,73.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,32.0,32.0,17.0,17.0,20.0,20.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,33.0,33.0,73.0,73.0,4614.0,4614.0,757.0,757.0,55.82022570647289,55.82022570647289,46.14,46.14,0.4520547945205479,0.4520547945205479,55.83,55.83,10.36986301369863,10.36986301369863
12,1375.0,1375.0,1040.0,1040.0,852.0,852.0,71.0,71.0,71.0,71.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,35.0,35.0,16.0,16.0,15.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,42.0,42.0,71.0,71.0,4772.0,4772.0,738.0,738.0,59.16217217700712,59.16217217700712,47.72,47.72,0.5915492957746479,0.5915492957746479,58.12,58.12,10.394366197183098,10.394366197183098
13,1441.0,1441.0,1111.0,1111.0,881.0,881.0,71.0,71.0,71.0,71.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,24.0,24.0,15.0,15.0,22.0,22.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,29.0,71.0,71.0,4807.0,4807.0,740.0,740.0,60.906820420573474,60.906820420573474,48.07,48.07,0.4084507042253521,0.4084507042253521,59.18,59.18,10.422535211267606,10.422535211267606
14,1506.0,1506.0,1181.0,1181.0,897.0,897.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,30.0,30.0,15.0,15.0,15.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,16.0,16.0,70.0,70.0,4782.0,4782.0,730.0,730.0,61.653229855637534,61.653229855637534,47.82,47.82,0.22857142857142856,0.22857142857142856,59.63,59.63,10.428571428571429,10.428571428571429
15,1566.0,1566.0,1248.0,1248.0,904.0,904.0,67.0,67.0,67.0,67.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,19.0,19.0,12.0,12.0,23.0,23.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,67.0,67.0,4856.0,4856.0,699.0,699.0,63.24555647368941,63.24555647368941,48.56,48.56,0.1044776119402985,0.1044776119402985,61.04,61.04,10.432835820895523,10.432835820895523
16,1623.0,1623.0,1314.0,1314.0,908.0,908.0,66.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,11.0,11.0,15.0,15.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,66.0,66.0,4809.0,4809.0,687.0,687.0,64.31505370197486,64.31505370197486,48.09,48.09,0.06060606060606061,0.06060606060606061,61.23,61.23,10.409090909090908,10.409090909090908
17,1678.0,1678.0,1380.0,1380.0,933.0,933.0,66.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,10.0,10.0,24.0,24.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,25.0,25.0,66.0,66.0,4871.0,4871.0,689.0,689.0,65.32454895434867,65.32454895434867,48.71,48.71,0.3787878787878788,0.3787878787878788,62.51,62.51,10.43939393939394,10.43939393939394
18,1731.0,1731.0,1444.0,1444.0,937.0,937.0,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,25.0,25.0,8.0,8.0,15.0,15.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,64.0,64.0,4873.0,4873.0,670.0,670.0,66.5523470301007,66.5523470301007,48.73,48.73,0.0625,0.0625,63.17,63.17,10.46875,10.46875
19,1787.0,1787.0,1507.0,1507.0,937.0,937.0,63.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,21.0,21.0,10.0,10.0,21.0,21.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,4839.0,4839.0,658.0,658.0,66.65234703010071,66.65234703010071,48.39,48.39,0.0,0.0,63.46,63.46,10.444444444444445,10.444444444444445
20,1842.0,1842.0,1570.0,1570.0,938.0,938.0,63.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.0,26.0,9.0,9.0,18.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,63.0,63.0,4786.0,4786.0,658.0,658.0,66.69578594412786,66.69578594412786,47.86,47.86,0.015873015873015872,0.015873015873015872,63.56,63.56,10.444444444444445,10.444444444444445
21,1898.0,1898.0,1633.0,1633.0,938.0,938.0,63.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,9.0,9.0,22.0,22.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,4723.0,4723.0,658.0,658.0,66.71117055951248,66.71117055951248,47.23,47.23,0.0,0.0,63.56,63.56,10.444444444444445,10.444444444444445
22,1954.0,1954.0,1696.0,1696.0,938.0,938.0,63.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.0,28.0,7.0,7.0,18.0,18.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,4660.0,4660.0,660.0,660.0,66.71117055951248,66.71117055951248,46.6,46.6,0.0,0.0,63.56,63.56,10.476190476190476,10.476190476190476
23,2009.0,2009.0,1758.0,1758.0,946.0,946.0,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,10.0,10.0,22.0,22.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,8.0,62.0,62.0,4612.0,4612.0,650.0,650.0,68.11117055951247,68.11117055951247,46.12,46.12,0.12903225806451613,0.12903225806451613,63.7,63.7,10.483870967741936,10.483870967741936
24,2056.0,2056.0,1818.0,1818.0,946.0,946.0,60.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,5.0,5.0,17.0,17.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,4572.0,4572.0,627.0,627.0,68.89940585363013,68.89940585363013,45.72,45.72,0.0,0.0,63.9,63.9,10.45,10.45
25,2102.0,2102.0,1878.0,1878.0,946.0,946.0,60.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,16.0,16.0,4.0,4.0,21.0,21.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,4512.0,4512.0,627.0,627.0,68.89940585363013,68.89940585363013,45.12,45.12,0.0,0.0,63.9,63.9,10.45,10.45
26,2148.0,2148.0,1938.0,1938.0,946.0,946.0,60.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,4.0,4.0,16.0,16.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,4452.0,4452.0,625.0,625.0,68.89940585363013,68.89940585363013,44.52,44.52,0.0,0.0,63.9,63.9,10.416666666666666,10.416666666666666
27,2194.0,2194.0,1998.0,1998.0,946.0,946.0,60.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,16.0,3.0,3.0,22.0,22.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,60.0,60.0,4392.0,4392.0,627.0,627.0,68.89940585363013,68.89940585363013,43.92,43.92,0.0,0.0,63.9,63.9,10.45,10.45
28,2239.0,2239.0,2058.0,2058.0,956.0,956.0,60.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,4.0,4.0,17.0,17.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,60.0,60.0,4422.0,4422.0,627.0,627.0,69.2840212382455,69.2840212382455,44.22,44.22,0.16666666666666666,0.16666666666666666,64.8,64.8,10.45,10.45
29,2283.0,2283.0,2118.0,2118.0,957.0,957.0,60.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,16.0,3.0,3.0,22.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,60.0,4365.0,4365.0,628.0,628.0,69.32248277670703,69.32248277670703,43.65,43.65,0.016666666666666666,0.016666666666666666,64.83,64.83,10.466666666666667,10.466666666666667
30,2325.0,2325.0,2177.0,2177.0,958.0,958.0,59.0,59.0,59.0,59.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,22.0,22.0,1.0,1.0,16.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,59.0,59.0,4348.0,4348.0,618.0,618.0,69.79105420527846,69.79105420527846,43.48,43.48,0.01694915254237288,0.01694915254237288,65.25,65.25,10.474576271186441,10.474576271186441
31,2367.0,2367.0,2236.0,2236.0,958.0,958.0,59.0,59.0,59.0,59.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,16.0,2.0,2.0,22.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,4289.0,4289.0,616.0,616.0,69.79105420527846,69.79105420527846,42.89,42.89,0.0,0.0,65.25,65.25,10.440677966101696,10.440677966101696
32,2408.0,2408.0,2295.0,2295.0,966.0,966.0,59.0,59.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,2.0,2.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,8.0,59.0,59.0,4238.0,4238.0,616.0,616.0,69.90373026161649,69.90373026161649,42.38,42.38,0.13559322033898305,0.13559322033898305,65.33,65.33,10.440677966101696,10.440677966101696
33,2447.0,2447.0,2353.0,2353.0,966.0,966.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,2.0,2.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,4224.0,4224.0,606.0,606.0,70.19405284226166,70.19405284226166,42.24,42.24,0.0,0.0,65.77,65.77,10.448275862068966,10.448275862068966
34,2486.0,2486.0,2411.0,2411.0,966.0,966.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,1.0,1.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,4166.0,4166.0,606.0,606.0,70.19405284226166,70.19405284226166,41.66,41.66,0.0,0.0,65.77,65.77,10.448275862068966,10.448275862068966
35,2525.0,2525.0,2469.0,2469.0,966.0,966.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,1.0,1.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,4108.0,4108.0,606.0,606.0,70.19405284226166,70.19405284226166,41.08,41.08,0.0,0.0,65.77,65.77,10.448275862068966,10.448275862068966
36,2564.0,2564.0,2527.0,2527.0,966.0,966.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,2.0,2.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,4050.0,4050.0,606.0,606.0,70.19405284226166,70.19405284226166,40.5,40.5,0.0,0.0,65.77,65.77,10.448275862068966,10.448275862068966
37,2603.0,2603.0,2585.0,2585.0,966.0,966.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,15.0,1.0,1.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,3992.0,3992.0,607.0,607.0,70.19405284226166,70.19405284226166,39.92,39.92,0.0,0.0,65.77,65.77,10.46551724137931,10.46551724137931
38,2641.0,2641.0,2643.0,2643.0,966.0,966.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,1.0,1.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,3934.0,3934.0,607.0,607.0,70.19405284226166,70.19405284226166,39.34,39.34,0.0,0.0,65.77,65.77,10.46551724137931,10.46551724137931
39,2679.0,2679.0,2701.0,2701.0,966.0,966.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,1.0,1.0,21.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,3876.0,3876.0,607.0,607.0,70.19405284226166,70.19405284226166,38.76,38.76,0.0,0.0,65.77,65.77,10.46551724137931,10.46551724137931
40,2718.0,2718.0,2759.0,2759.0,971.0,971.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,15.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,58.0,58.0,3823.0,3823.0,607.0,607.0,70.3807113489936,70.3807113489936,38.23,38.23,0.08620689655172414,0.08620689655172414,65.82,65.82,10.46551724137931,10.46551724137931
41,2756.0,2756.0,2817.0,2817.0,971.0,971.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,1.0,1.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,3765.0,3765.0,607.0,607.0,70.3807113489936,70.3807113489936,37.65,37.65,0.0,0.0,65.82,65.82,10.46551724137931,10.46551724137931
42,2793.0,2793.0,2875.0,2875.0,981.0,981.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,58.0,58.0,3717.0,3717.0,607.0,607.0,70.64386924373044,70.64386924373044,37.17,37.17,0.1724137931034483,0.1724137931034483,65.92,65.92,10.46551724137931,10.46551724137931
43,2830.0,2830.0,2933.0,2933.0,981.0,981.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,3659.0,3659.0,607.0,607.0,70.64386924373044,70.64386924373044,36.59,36.59,0.0,0.0,65.92,65.92,10.46551724137931,10.46551724137931
44,2867.0,2867.0,2991.0,2991.0,981.0,981.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,3601.0,3601.0,607.0,607.0,70.64386924373044,70.64386924373044,36.01,36.01,0.0,0.0,65.92,65.92,10.46551724137931,10.46551724137931
45,2904.0,2904.0,3049.0,3049.0,981.0,981.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,3543.0,3543.0,607.0,607.0,70.64386924373044,70.64386924373044,35.43,35.43,0.0,0.0,65.92,65.92,10.46551724137931,10.46551724137931
46,2941.0,2941.0,3107.0,3107.0,981.0,981.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,3485.0,3485.0,607.0,607.0,70.64386924373044,70.64386924373044,34.85,34.85,0.0,0.0,65.92,65.92,10.46551724137931,10.46551724137931
47,2978.0,2978.0,3165.0,3165.0,981.0,981.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,3427.0,3427.0,607.0,607.0,70.64386924373044,70.64386924373044,34.27,34.27,0.0,0.0,65.92,65.92,10.46551724137931,10.46551724137931
48,3015.0,3015.0,3223.0,3223.0,981.0,981.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,3369.0,3369.0,607.0,607.0,70.64386924373044,70.64386924373044,33.69,33.69,0.0,0.0,65.92,65.92,10.46551724137931,10.46551724137931
49,3052.0,3052.0,3281.0,3281.0,981.0,981.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,3311.0,3311.0,607.0,607.0,70.64386924373044,70.64386924373044,33.11,33.11,0.0,0.0,65.92,65.92,10.46551724137931,10.46551724137931
50,3089.0,3089.0,3339.0,3339.0,981.0,981.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,3253.0,3253.0,607.0,607.0,70.64386924373044,70.64386924373044,32.53,32.53,0.0,0.0,65.92,65.92,10.46551724137931,10.46551724137931
51,3126.0,3126.0,3397.0,3397.0,981.0,981.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,3195.0,3195.0,607.0,607.0,70.64386924373044,70.64386924373044,31.95,31.95,0.0,0.0,65.92,65.92,10.46551724137931,10.46551724137931
52,3163.0,3163.0,3455.0,3455.0,981.0,981.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,3137.0,3137.0,607.0,607.0,70.64386924373044,70.64386924373044,31.37,31.37,0.0,0.0,65.92,65.92,10.46551724137931,10.46551724137931
53,3200.0,3200.0,3513.0,3513.0,981.0,981.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,21.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,3079.0,3079.0,607.0,607.0,70.64386924373044,70.64386924373044,30.79,30.79,0.0,0.0,65.92,65.92,10.46551724137931,10.46551724137931
54,3238.0,3238.0,3571.0,3571.0,981.0,981.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,15.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,3021.0,3021.0,607.0,607.0,70.64386924373044,70.64386924373044,30.21,30.21,0.0,0.0,65.92,65.92,10.46551724137931,10.46551724137931
55,3275.0,3275.0,3629.0,3629.0,981.0,981.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,2963.0,2963.0,607.0,607.0,70.64386924373044,70.64386924373044,29.63,29.63,0.0,0.0,65.92,65.92,10.46551724137931,10.46551724137931
56,3312.0,3312.0,3687.0,3687.0,981.0,981.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,2905.0,2905.0,607.0,607.0,70.64386924373044,70.64386924373044,29.05,29.05,0.0,0.0,65.92,65.92,10.46551724137931,10.46551724137931
57,3349.0,3349.0,3745.0,3745.0,981.0,981.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,2847.0,2847.0,607.0,607.0,70.64386924373044,70.64386924373044,28.47,28.47,0.0,0.0,65.92,65.92,10.46551724137931,10.46551724137931
