Cycle,Total Messages,,Total Cycle Spend,,Total Data Received,,Peers Remaining,,Unsatisfied,,Budget Exhausted,,Orphaned,,PEER_DOWN,,MALFORMED_RECORDS,,DATA_REQUEST,,NO_DATA,,NO_ACCESS,,POLICY_INFORM,,REJECT_POLICIES,,RECORD_INFORM,,DATA_RESULT,,DATA_RESULT (+Data),,Data Received,,Cycle Spend,,Total Profit,,Total Neighbours,,Average Satisfaction,,Average Profit,,Average Data Received,,Average Normalised Profit,,Average Neighbours,
,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total
1,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2,95.0,95.0,200.0,200.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-100.0,-100.0,1000.0,1000.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,10.0,10.0
3,262.0,262.0,300.0,300.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,77.0,77.0,6.0,6.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-200.0,-200.0,1000.0,1000.0,0.0,0.0,-2.0,-2.0,0.0,0.0,1.0,1.0,10.0,10.0
4,450.0,450.0,394.0,394.0,120.0,120.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,96.0,96.0,60.0,60.0,10.0,10.0,2.0,2.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,120.0,120.0,94.0,94.0,716.0,716.0,940.0,940.0,13.011035998726946,13.011035998726946,7.16,7.16,1.2765957446808511,1.2765957446808511,11.1,11.1,10.0,10.0
5,636.0,636.0,486.0,486.0,229.0,229.0,92.0,92.0,92.0,92.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,70.0,70.0,70.0,70.0,22.0,22.0,4.0,4.0,0.0,0.0,2.0,2.0,11.0,11.0,10.0,10.0,109.0,109.0,92.0,92.0,1271.0,1271.0,920.0,920.0,19.34219226428196,19.34219226428196,12.71,12.71,1.184782608695652,1.184782608695652,17.57,17.57,10.0,10.0
6,789.0,789.0,575.0,575.0,431.0,431.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,70.0,70.0,49.0,49.0,13.0,13.0,8.0,8.0,0.0,0.0,4.0,4.0,2.0,2.0,2.0,2.0,202.0,202.0,89.0,89.0,2294.0,2294.0,895.0,895.0,33.056650709279836,33.056650709279836,22.94,22.94,2.269662921348315,2.269662921348315,28.69,28.69,10.0561797752809,10.0561797752809
7,926.0,926.0,659.0,659.0,531.0,531.0,84.0,84.0,84.0,84.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,47.0,47.0,40.0,40.0,24.0,24.0,5.0,5.0,0.0,0.0,8.0,8.0,4.0,4.0,4.0,4.0,100.0,100.0,84.0,84.0,2865.0,2865.0,852.0,852.0,39.48817789387292,39.48817789387292,28.65,28.65,1.1904761904761905,1.1904761904761905,35.24,35.24,10.142857142857142,10.142857142857142
8,1039.0,1039.0,741.0,741.0,629.0,629.0,82.0,82.0,82.0,82.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,46.0,46.0,33.0,33.0,13.0,13.0,1.0,1.0,0.0,0.0,4.0,4.0,8.0,8.0,8.0,8.0,98.0,98.0,82.0,82.0,3534.0,3534.0,844.0,844.0,45.31836923604771,45.31836923604771,35.34,35.34,1.1951219512195121,1.1951219512195121,42.75,42.75,10.292682926829269,10.292682926829269
9,1140.0,1140.0,821.0,821.0,725.0,725.0,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,37.0,37.0,24.0,24.0,18.0,18.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,96.0,96.0,80.0,80.0,4076.0,4076.0,829.0,829.0,50.65978632445305,50.65978632445305,40.76,40.76,1.2,1.2,48.97,48.97,10.3625,10.3625
