Cycle,Total Messages,,,,,Total Cycle Spend,,,,,Total Data Received,,,,,Total PEER_DOWN,,,,,Total MALFORMED_RECORDS,,,,,Total DATA_REQUEST,,,,,Total NO_DATA,,,,,Total NO_ACCESS,,,,,Total POLICY_INFORM,,,,,Total REJECT_POLICIES,,,,,Total RECORD_INFORM,,,,,Total DATA_RESULT,,,,,Total DATA_RESULT (+Data),,,,,Peers Remaining,,,,,Unsatisfied,,,,,Budget Exhausted,,,,,Orphaned,,,,,Messages,,,,,Requesting,,,,,Waiting,,,,,Requestors,,,,,Providers,,,,,Dual Role,,,,,PEER_DOWN,,,,,MALFORMED_RECORDS,,,,,DATA_REQUEST,,,,,NO_DATA,,,,,NO_ACCESS,,,,,POLICY_INFORM,,,,,REJECT_POLICIES,,,,,RECORD_INFORM,,,,,DATA_RESULT,,,,,DATA_RESULT (+Data),,,,,Data Received,,,,,Cycle Spend,,,,,Total Profit,,,,,Total Neighbours,,,,,Average Satisfaction,,,,,Average Profit,,,,,Average Data Received,,,,,Average Normalised Profit,,,,,Average Neighbours,,,,
,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total,Bus Stop,Infrastructure,No Role,Phone,Total
1,0.0,0.0,0.0,0.0,0.0,25.0,25.0,400.0,50.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,80.0,10.0,100.0,5.0,0.0,80.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,80.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,80.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,400.0,50.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0
2,4.0,0.0,56.0,0.0,60.0,50.0,25.0,800.0,50.0,925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,51.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,80.0,0.0,85.0,5.0,0.0,80.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,56.0,0.0,60.0,5.0,0.0,70.0,0.0,75.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,80.0,0.0,85.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,51.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,400.0,0.0,425.0,-25.0,-25.0,-400.0,-50.0,-500.0,50.0,0.0,800.0,0.0,850.0,0.0,100.0,0.0,100.0,200.0,-5.0,-5.0,-5.0,-5.0,-20.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,10.0,10.0,0.0,10.0,0.0,20.0
3,4.0,0.0,133.0,0.0,137.0,75.0,25.0,1200.0,50.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,73.0,0.0,77.0,0.0,0.0,24.0,0.0,24.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,80.0,0.0,85.0,5.0,0.0,80.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,77.0,5.0,0.0,63.0,0.0,68.0,0.0,0.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,80.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0,0.0,0.0,24.0,0.0,24.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,400.0,0.0,425.0,-50.0,-25.0,-800.0,-50.0,-925.0,50.0,0.0,800.0,0.0,850.0,0.0,100.0,0.0,100.0,200.0,-10.0,-5.0,-10.0,-5.0,-30.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,10.0,10.0,0.0,10.0,0.0,20.0
4,6.0,0.0,196.0,0.0,202.0,100.0,25.0,1590.0,50.0,1765.0,0.0,0.0,86.0,0.0,86.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,91.0,0.0,97.0,0.0,0.0,33.0,0.0,33.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,34.0,0.0,34.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,78.0,0.0,83.0,5.0,0.0,78.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,63.0,0.0,65.0,5.0,0.0,62.0,0.0,67.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,78.0,0.0,83.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,0.0,20.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,86.0,25.0,0.0,390.0,0.0,415.0,-75.0,-25.0,-791.0,-50.0,-941.0,50.0,0.0,780.0,0.0,830.0,0.0,100.0,10.410987876932149,100.0,210.41098787693215,-15.0,-5.0,-9.8875,-5.0,-34.8875,0.0,0.0,1.1025641025641026,0.0,1.1025641025641026,5.0,0.0,9.9875,0.0,14.9875,10.0,0.0,10.0,0.0,20.0
5,6.0,0.0,252.0,0.0,258.0,125.0,25.0,1975.0,50.0,2175.0,0.0,0.0,145.0,0.0,145.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,94.0,0.0,100.0,0.0,0.0,35.0,0.0,35.0,0.0,0.0,21.0,0.0,21.0,0.0,0.0,41.0,0.0,41.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,31.0,0.0,31.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,16.0,0.0,16.0,5.0,0.0,77.0,0.0,82.0,5.0,0.0,77.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,56.0,5.0,0.0,62.0,0.0,67.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,77.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,59.0,0.0,59.0,25.0,0.0,385.0,0.0,410.0,-100.0,-25.0,-829.0,-50.0,-1004.0,50.0,0.0,769.0,0.0,819.0,0.0,100.0,15.074892067370865,100.0,215.07489206737085,-20.0,-5.0,-10.3625,-5.0,-40.3625,0.0,0.0,0.7662337662337663,0.0,0.7662337662337663,5.0,0.0,14.325,0.0,19.325,10.0,0.0,9.987012987012987,0.0,19.98701298701299
