Cycle,Total Messages,,Total Cycle Spend,,Total Data Received,,Peers Remaining,,Unsatisfied,,Budget Exhausted,,Orphaned,,PEER_DOWN,,MALFORMED_RECORDS,,DATA_REQUEST,,NO_DATA,,NO_ACCESS,,POLICY_INFORM,,REJECT_POLICIES,,RECORD_INFORM,,DATA_RESULT,,DATA_RESULT (+Data),,Data Received,,Cycle Spend,,Total Profit,,Total Neighbours,,Average Satisfaction,,Average Profit,,Average Data Received,,Average Normalised Profit,,Average Neighbours,
,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total
1,0.0,0.0,500.0,500.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
2,60.0,60.0,1000.0,1000.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,-500.0,-500.0,1000.0,1000.0,0.0,0.0,-5.0,-5.0,0.0,0.0,5.0,5.0,10.0,10.0
3,138.0,138.0,1500.0,1500.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,24.0,24.0,6.0,6.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,-1000.0,-1000.0,1000.0,1000.0,0.0,0.0,-10.0,-10.0,0.0,0.0,5.0,5.0,10.0,10.0
4,203.0,203.0,1985.0,1985.0,88.0,88.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,7.0,7.0,4.0,4.0,7.0,7.0,1.0,1.0,29.0,29.0,0.0,0.0,0.0,0.0,88.0,88.0,485.0,485.0,-992.0,-992.0,970.0,970.0,9.051007957184428,9.051007957184428,-9.92,-9.92,0.9072164948453608,0.9072164948453608,9.93,9.93,10.0,10.0
5,261.0,261.0,2470.0,2470.0,119.0,119.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4.0,4.0,7.0,7.0,4.0,4.0,1.0,1.0,6.0,6.0,29.0,29.0,23.0,23.0,31.0,31.0,485.0,485.0,-1307.0,-1307.0,970.0,970.0,10.670615152821036,10.670615152821036,-13.07,-13.07,0.31958762886597936,0.31958762886597936,11.63,11.63,10.0,10.0
