Cycle,Total Messages,,Total Cycle Spend,,Total Data Received,,Peers Remaining,,Unsatisfied,,Budget Exhausted,,Orphaned,,PEER_DOWN,,MALFORMED_RECORDS,,DATA_REQUEST,,NO_DATA,,NO_ACCESS,,POLICY_INFORM,,REJECT_POLICIES,,RECORD_INFORM,,DATA_RESULT,,DATA_RESULT (+Data),,Data Received,,Cycle Spend,,Total Profit,,Total Neighbours,,Average Satisfaction,,Average Profit,,Average Data Received,,Average Normalised Profit,,Average Neighbours,
,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total
1,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2,94.0,94.0,200.0,200.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-100.0,-100.0,1000.0,1000.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,10.0,10.0
3,242.0,242.0,300.0,300.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,72.0,72.0,19.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-200.0,-200.0,1000.0,1000.0,0.0,0.0,-2.0,-2.0,0.0,0.0,1.0,1.0,10.0,10.0
4,411.0,411.0,399.0,399.0,17.0,17.0,99.0,99.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,112.0,42.0,42.0,11.0,11.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,17.0,17.0,99.0,99.0,14.0,14.0,990.0,990.0,1.9478696741854638,1.9478696741854638,0.14,0.14,0.1717171717171717,0.1717171717171717,4.13,4.13,10.0,10.0
5,582.0,582.0,498.0,498.0,47.0,47.0,99.0,99.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,70.0,70.0,40.0,40.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,30.0,30.0,99.0,99.0,420.0,420.0,990.0,990.0,3.3100212906849062,3.3100212906849062,4.2,4.2,0.30303030303030304,0.30303030303030304,9.18,9.18,10.0,10.0
6,745.0,745.0,594.0,594.0,73.0,73.0,96.0,96.0,96.0,96.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,99.0,99.0,28.0,28.0,26.0,26.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,26.0,26.0,96.0,96.0,963.0,963.0,964.0,964.0,8.18094203660565,8.18094203660565,9.63,9.63,0.2708333333333333,0.2708333333333333,15.57,15.57,10.041666666666666,10.041666666666666
7,905.0,905.0,690.0,690.0,90.0,90.0,96.0,96.0,96.0,96.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,54.0,54.0,49.0,49.0,49.0,49.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,17.0,17.0,96.0,96.0,1130.0,1130.0,966.0,966.0,8.843442036605651,8.843442036605651,11.3,11.3,0.17708333333333334,0.17708333333333334,18.2,18.2,10.0625,10.0625
8,1053.0,1053.0,786.0,786.0,109.0,109.0,96.0,96.0,96.0,96.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,88.0,88.0,27.0,27.0,24.0,24.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,19.0,96.0,96.0,1354.0,1354.0,969.0,969.0,10.06115765432127,10.06115765432127,13.54,13.54,0.19791666666666666,0.19791666666666666,21.4,21.4,10.09375,10.09375
9,1201.0,1201.0,882.0,882.0,116.0,116.0,96.0,96.0,96.0,96.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,55.0,55.0,38.0,38.0,46.0,46.0,4.0,4.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,7.0,7.0,96.0,96.0,1367.0,1367.0,969.0,969.0,10.282586225749842,10.282586225749842,13.67,13.67,0.07291666666666667,0.07291666666666667,22.49,22.49,10.09375,10.09375
